"idArticle";"idProduct";"English Name";"Local Name";"Exp.";"Exp. Name";"Price";"Language";"Condition";"Foil?";"Signed?";"Playset?";"Altered?";"Comments";"Amount";"onSale"
"345440250";"294920";"Filigree Crawler";"Filigree Crawler";"AER";"Aether Revolt";"2.00";"1";"NM";"X";"";"";"";"";"1";"1"
"343352372";"292549";"Bristling Hydra";"Bristling Hydra";"KLD";"Kaladesh";"2.46";"1";"NM";"X";"";"";"";"";"1";"1"
